Description:,"Celsius-based heating degree days for a base temperature of 18.0C"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Geneve-Cointrin, CH (6.13E,46.25N)"
Station ID:,"LSGG"

Date,HDD,% Estimated
2015-03-25,9.7,0
2015-03-26,10.9,0
2015-03-27,9.5,0
2015-03-28,11.7,0
2015-03-29,8.3,0
2015-03-30,6.3,0
2015-03-31,5.4,0
2015-04-01,10.5,0
2015-04-02,11.1,0
2015-04-03,10.4,0
2015-04-04,10.3,0
2015-04-05,12.2,0
2015-04-06,11.5,0
2015-04-07,10.5,0
2015-04-08,10.3,0
2015-04-09,8,0
2015-04-10,5.6,0
2015-04-11,4.6,0
2015-04-12,6,0
2015-04-13,4.8,0
2015-04-14,5.1,0
2015-04-15,4.8,0
2015-04-16,4.6,0
2015-04-17,5.4,0
2015-04-18,6.9,0
2015-04-19,8.7,0
2015-04-20,5.9,0
2015-04-21,5.3,0
2015-04-22,4.6,0
2015-04-23,4.3,0
2015-04-24,4.3,0
2015-04-25,3.6,0
2015-04-26,4.2,0
2015-04-27,3.7,0
2015-04-28,8.9,0
2015-04-29,8.8,0
2015-04-30,5.5,0
2015-05-01,5.1,0
2015-05-02,3.4,0
2015-05-03,2.8,0
2015-05-04,1.9,0
2015-05-05,2.4,0
2015-05-06,3.1,0
2015-05-07,4.6,0
2015-05-08,5.1,0
2015-05-09,2.8,0
2015-05-10,3.8,0
2015-05-11,3.4,0
2015-05-12,2,0
2015-05-13,0.5,0
2015-05-14,1.1,0
2015-05-15,9.4,0
2015-05-16,4.5,0
2015-05-17,3.4,0
2015-05-18,2.8,0
2015-05-19,2.8,0
2015-05-20,7.4,0
2015-05-21,7.6,0
2015-05-22,4.5,0
2015-05-23,3,0
2015-05-24,3.1,0
2015-05-25,2.2,0
2015-05-26,3.9,0
2015-05-27,4.1,0
2015-05-28,4.2,0
2015-05-29,2.5,0
2015-05-30,0.9,0
2015-05-31,1.7,0
2015-06-01,1.4,0
2015-06-02,0.6,0
2015-06-03,1.1,0
2015-06-04,0.7,0
2015-06-05,0.1,0
2015-06-06,0.2,0
2015-06-07,0.4,0
2015-06-08,0.2,0
2015-06-09,1,0
2015-06-10,1.2,0
2015-06-11,0.9,0
2015-06-12,0.4,0
2015-06-13,0.7,0
2015-06-14,0.5,0
2015-06-15,0.7,0
2015-06-16,0.9,0
2015-06-17,0.8,0
2015-06-18,1.9,0
