24.04.2015	2.4909
25.04.2015	1.7258
26.04.2015	1.7768
27.04.2015	1.9144
28.04.2015	3.7935
29.04.2015	4.035
30.04.2015	2.7512
01.05.2015	3.1051
02.05.2015	1.9592
03.05.2015	1.6492
04.05.2015	1.4955
05.05.2015	0.9573
06.05.2015	2.2603
07.05.2015	2.0968
08.05.2015	1.8816
09.05.2015	1.14
10.05.2015	1.9011
11.05.2015	1.3796
12.05.2015	2.0031
13.05.2015	0.7502
14.05.2015	0.7768
15.05.2015	3.1954
16.05.2015	2.6374
17.05.2015	0.9669
18.05.2015	1.1793
19.05.2015	0.8012
20.05.2015	2.3132
21.05.2015	3.5543
22.05.2015	2.5385
23.05.2015	1.4591
24.05.2015	1.4319
25.05.2015	1.494
26.05.2015	1.4606
27.05.2015	1.8739
28.05.2015	1.9707
29.05.2015	1.0288
30.05.2015	1.0516
31.05.2015	1.0665
01.06.2015	0.7982
02.06.2015	0.9342
03.06.2015	0.6965
04.06.2015	0.6516
05.06.2015	0.698
06.06.2015	0.8074
07.06.2015	1.3595
08.06.2015	0.6924
09.06.2015	0.775
10.06.2015	0.6986
11.06.2015	0.6739
12.06.2015	0.676
13.06.2015	1.1354
14.06.2015	1.656
15.06.2015	0.6343
16.06.2015	0.9063
17.06.2015	0.6745
18.06.2015	0.7413
19.06.2015	0.9886
20.06.2015	0.6507
21.06.2015	0.7054
22.06.2015	1.1645
23.06.2015	0.8615
24.06.2015	0.7181
25.06.2015	0.7224
26.06.2015	0.6383
27.06.2015	1.0176
28.06.2015	0.9212
29.06.2015	1.0897
30.06.2015	1.0056
01.07.2015	1.0269
02.07.2015	0.6532
03.07.2015	1.0609
04.07.2015	0.69
05.07.2015	0.3394
06.07.2015	0.7938
07.07.2015	0.7626
08.07.2015	0.6853
09.07.2015	0.6739
10.07.2015	0.34
11.07.2015	0.7258
12.07.2015	0.868
13.07.2015	0.724
14.07.2015	0.8649
15.07.2015	0.6702
16.07.2015	0.919
17.07.2015	0.7969
18.07.2015	0.3261
19.07.2015	0.7255
20.07.2015	0.6315
21.07.2015	0.8835
22.07.2015	0.3762
23.07.2015	0.7271
24.07.2015	0.643
25.07.2015	0.659
26.07.2015	0.7351
27.07.2015	0.6779
28.07.2015	0.9057
29.07.2015	0.3623
30.07.2015	0.6019
31.07.2015	0.6522
01.08.2015	0.6692
02.08.2015	0.8093
03.08.2015	0.7954
04.08.2015	0.8485
05.08.2015	0.8362
06.08.2015	0.6408
07.08.2015	0.6315
08.08.2015	0.6529
09.08.2015	1.1005
10.08.2015	0.6739
11.08.2015	0.847
12.08.2015	0.4087
13.08.2015	0.7626
14.08.2015	0.625
15.08.2015	0.6414
16.08.2015	1.0937
17.08.2015	0.6615
17.08.2015	0.658
18.08.2015	1.003
19.08.2015	0.658
20.08.2015	0.696
21.08.2015	0.621
22.08.2015	0.614
23.08.2015	0.811
24.08.2015	0.662
